folder,name,belt,sku,count,manual_count,processed_at,Comentarios 1,video_url
- 3 Sacos,Camera11_bandas_bandas_20260303105830_20260303110359_1370397.mp4,2,GANADO_CAMPESTRE,23,27,2026-04-09 8:08:41,,https://drive.google.com/uc?id=1bWa2Fids8xoyD083Lh9od07W0r0AlZbC
- 3 Sacos,Camera11_bandas_bandas_20260303105830_20260303110359_1370397.mp4,2,GANADO_ULTRA,4,0,2026-04-09 8:08:41,,https://drive.google.com/uc?id=1bWa2Fids8xoyD083Lh9od07W0r0AlZbC
- 3 Sacos,Camera11_bandas_bandas_20260303105830_20260303110359_1370397.mp4,3,GANADO_CAMPESTRE,6,6,2026-04-09 8:08:41,,https://drive.google.com/uc?id=1bWa2Fids8xoyD083Lh9od07W0r0AlZbC
- 3 Sacos,Camera11_bandas_bandas_20260303105830_20260303110359_1370397.mp4,3,GANADO_ULTRA,34,34,2026-04-09 8:08:41,,https://drive.google.com/uc?id=1bWa2Fids8xoyD083Lh9od07W0r0AlZbC
- 3 Sacos,Camera9_bandas_bandas_20260303105830_20260303110359_1370396.mp4,2,GANADO_ULTRA,25,26,2026-04-09 9:53:52,,https://drive.google.com/uc?id=1toHIBip27IxUDxgZZ_yuaoh7mjyvRgwW
- 3 Sacos,Camera9_bandas_bandas_20260303105830_20260303110359_1370396.mp4,2,GANADO_CAMPESTRE,1,0,2026-04-09 9:53:52,,https://drive.google.com/uc?id=1toHIBip27IxUDxgZZ_yuaoh7mjyvRgwW
- 3 Sacos,Camera9_bandas_bandas_20260303105830_20260303110359_1370396.mp4,3,GANADO_ULTRA,0,39,2026-04-09 9:53:52,,https://drive.google.com/uc?id=1toHIBip27IxUDxgZZ_yuaoh7mjyvRgwW
-1 Saco,Camera11_bandas_bandas_20260303072730_20260303072859_4031385.mp4,2,GANADO_ULTRA,10,8,2026-04-09 9:30:01,,https://drive.google.com/uc?id=1iv2pKVncrBRMlnlBiwEOf2t2t8Kp0L1U
-1 Saco,Camera11_bandas_bandas_20260303072730_20260303072859_4031385.mp4,2,GANADO_CAMPESTRE,5,3,2026-04-09 9:30:01,,https://drive.google.com/uc?id=1iv2pKVncrBRMlnlBiwEOf2t2t8Kp0L1U
-1 Saco,Camera12_bandas_bandas_20260303072730_20260303072859_4031386.mp4,1,GANADO_ULTRA,10,10,2026-04-09 8:57:05,,https://drive.google.com/uc?id=1LPxh1fvC0LAsfJpLUknKNLUw_Awl5t9q
-1 Saco,Camera9_bandas_bandas_20260303072730_20260303072859_4031375.mp4,1,GANADO_ULTRA,10,10,2026-04-09 8:27:56,,https://drive.google.com/uc?id=11WpWUI65TKflU7VeN5cYE-y83fjw7qbG
-1 Saco (caido),Camera11_bandas_bandas_20260303151600_20260303151759_17957689.mp4,3,CERDOS,35,35,2026-04-09 8:26:43,,https://drive.google.com/uc?id=16Q3RVKLOI2wih7mLHNak_xtrz8_8agLi
-1 Saco (caido),Camera11_bandas_bandas_20260303151600_20260303151759_17957689.mp4,3,CERDOS,35,35,2026-04-09 8:26:43,,https://drive.google.com/uc?id=1zLQvjjKkJUA0JSLqpu9Vk8aO8W3LdyK1
-1 saco (aventado),Camera11_bandas_bandas_20260303080210_20260303080359_6613933.mp4,2,CABALLOS,41,41,2026-04-09 7:21:28,,https://drive.google.com/uc?id=1FgF-eRqtiVN5zZWHkvlITaylKevduxfw
-1 saco (aventado),Camera11_bandas_bandas_20260303080210_20260303080359_6613933.mp4,3,GANADO_CAMPESTRE,21,22,2026-04-09 7:21:28,,https://drive.google.com/uc?id=1FgF-eRqtiVN5zZWHkvlITaylKevduxfw
-1 saco (aventado),Camera11_bandas_bandas_20260303080210_20260303080359_6613933.mp4,3,GANADO_ULTRA,1,0,2026-04-09 7:21:28,,https://drive.google.com/uc?id=1FgF-eRqtiVN5zZWHkvlITaylKevduxfw
-1 y Pausas en bandas,Camera11_bandas_bandas_20260303073700_20260303074245_5973809.mp4,2,SUSTITUTO_LECHE,7,10,2026-04-09 9:48:40,,https://drive.google.com/uc?id=1bRgt5dw89Tc3BZL3O8dFS8Tj3_qZUW0z
-1 y Pausas en bandas,Camera11_bandas_bandas_20260303073700_20260303074245_5973809.mp4,2,GANADO_ULTRA,29,28,2026-04-09 9:48:40,,https://drive.google.com/uc?id=1bRgt5dw89Tc3BZL3O8dFS8Tj3_qZUW0z
-1 y Pausas en bandas,Camera11_bandas_bandas_20260303073700_20260303074245_5973809.mp4,2,AVES,19,18,2026-04-09 9:48:40,,https://drive.google.com/uc?id=1bRgt5dw89Tc3BZL3O8dFS8Tj3_qZUW0z
-1 y Pausas en bandas,Camera11_bandas_bandas_20260303073700_20260303074245_5973809.mp4,2,GANADO_CAMPESTRE,5,0,2026-04-09 9:48:40,,https://drive.google.com/uc?id=1bRgt5dw89Tc3BZL3O8dFS8Tj3_qZUW0z
-1 y Pausas en bandas,Camera11_bandas_bandas_20260303073700_20260303074245_5973809.mp4,3,GANADO_ULTRA,19,29,2026-04-09 9:48:40,,https://drive.google.com/uc?id=1bRgt5dw89Tc3BZL3O8dFS8Tj3_qZUW0z
-1 y Pausas en bandas,Camera11_bandas_bandas_20260303073700_20260303074245_5973809.mp4,3,GANADO_CAMPESTRE,11,0,2026-04-09 9:48:40,,https://drive.google.com/uc?id=1bRgt5dw89Tc3BZL3O8dFS8Tj3_qZUW0z
-1 y Pausas en bandas,Camera12_bandas_bandas_20260303073700_20260303074245_5973809.mp4,2,SUSTITUTO_LECHE,6,10,2026-04-09 9:26:38,,https://drive.google.com/uc?id=19GdS_SeJE_kDmoZWw_V69Qx7DWFv1_zV
-1 y Pausas en bandas,Camera12_bandas_bandas_20260303073700_20260303074245_5973809.mp4,2,GANADO_ULTRA,29,24,2026-04-09 9:26:38,,https://drive.google.com/uc?id=19GdS_SeJE_kDmoZWw_V69Qx7DWFv1_zV
-1 y Pausas en bandas,Camera12_bandas_bandas_20260303073700_20260303074245_5973809.mp4,2,AVES,11,14,2026-04-09 9:26:38,,https://drive.google.com/uc?id=19GdS_SeJE_kDmoZWw_V69Qx7DWFv1_zV
-1 y Pausas en bandas,Camera4_bandas_bandas_20260303073700_20260303074245_5973789.mp4,2,GANADO_ULTRA,26,26,2026-04-09 8:47:04,,https://drive.google.com/uc?id=1wm81yz4UoY4OMtOJmyb-NsnPC-q6cTfE
-1 y Pausas en bandas,Camera4_bandas_bandas_20260303073700_20260303074245_5973789.mp4,2,GANADO_CAMPESTRE,3,3,2026-04-09 8:47:04,,https://drive.google.com/uc?id=1wm81yz4UoY4OMtOJmyb-NsnPC-q6cTfE
